Event,Eruption Onset Date/Time,SO2 Mass (kt),SO2 Overpass time (UTC) (MetOpA),Mean Plume Height (km)
4,2016-12-16_18:39,0.8,2016-12-17_06:25,6
5,2016-12-19_15:14,1.5,2016-12-19_19:34,7
6,2016-12-21_00:38,1.6,2016-12-21_18:55,6
7,2016-12-22_01:22,4.1,2016-12-22_18:32,9
10,2016-12-26_23:22,1.5,2016-12-27_20:08,8
13,2016-12-31_07:33,3.2,2017-01-01_04:37,8
15,2017-01-04_06:19,0.1,2017-01-04_06:53,9
16,2017-01-05_22:30,0.2,2017-01-06_06:14,6
20,2017-01-15_06:40,0.1,2017-01-15_06:27,4
21,2017-01-17_14:30,0.1,2017-01-17_21:14,6
23,2017-01-18_22:19,1.9,2017-01-19_05:02,8
24,2017-01-20_22:18,0.2,2017-01-21_06:00,7
25,2017-01-22_23:00,0.2,2017-01-23_05:25,9
26,2017-01-24_13:51,0.5,2017-01-24_20:29,5
27,2017-01-26_15:49,0.6,2017-01-26_19:48,6
28,2017-01-27_17:25,0.2,2017-01-28_06:54,8
29,2017-01-31_05:18,3.6,2017-01-31_19:45,5
32,2017-02-13_16:24,0.1,2017-02-14_06:06,2
33,2017-02-17_19:05,0.5,2017-02-17_20:33,8
34,2017-02-18_00:34,0.7,2017-02-18_06:22,7
35,2017-02-18_14:00,1.4,2017-02-18_20:13,8
36,2017-02-20_02:08,0.7,2017-02-20_07:19,7
37,2017-03-08_07:37,21.5,2017-03-08_20:40,8
39,2017-05-17_06:29,9.4,2017-05-18_05:35,9
40,2017-05-28_22:16,7.7,2017-05-29_05:15,9
48,2017-06-10_09:58,1.6,2017-06-11_05:42,8
49,2017-06-13_01:44,0.8,2017-06-13_06:41,6
53,2017-06-27_00:44,0.1,2017-06-27_06:53,5
56,2017-07-02_20:47,0.1,2017-07-03_06:29,11
63,2017-07-11_01:07,5.8,2017-08-08_05:41,8
66,2017-08-27_00:28,1.2,2017-08-27_19:39,8
67,2017-08-27_23:08,0.3,2017-08-28_02:03,8
68,2017-08-28_11:22,0.2,2017-08-28_14:17,5
69,2017-08-28_19:17,0.1,2017-08-29_06:49,8
70,2017-08-30_12:30,0.4,2017-08-31_06:06,6